Save: 17, Episode: 727/20000, Best Score: 48932.1556088037, Play_time: 453, Spawn distance: 127.27922061357856
Save: 18, Episode: 728/20000, Best Score: 50163.316219399814, Play_time: 453, Spawn distance: 127.27922061357856
Save: 19, Episode: 737/20000, Best Score: 50230.66594862908, Play_time: 453, Spawn distance: 127.27922061357856
Save: 20, Episode: 738/20000, Best Score: 51114.11980772807, Play_time: 453, Spawn distance: 127.27922061357856
Save: 21, Episode: 739/20000, Best Score: 51918.65552626773, Play_time: 453, Spawn distance: 127.27922061357856
Save: 22, Episode: 740/20000, Best Score: 52680.302256074596, Play_time: 453, Spawn distance: 127.27922061357856
Save: 23, Episode: 741/20000, Best Score: 53387.011567013906, Play_time: 453, Spawn distance: 127.27922061357856
Save: 24, Episode: 742/20000, Best Score: 54087.44672456033, Play_time: 453, Spawn distance: 127.27922061357856
Save: 25, Episode: 743/20000, Best Score: 54741.364478598574, Play_time: 453, Spawn distance: 127.27922061357856
Save: 26, Episode: 744/20000, Best Score: 55383.721897147916, Play_time: 453, Spawn distance: 127.27922061357856
Save: 27, Episode: 745/20000, Best Score: 55966.45311338266, Play_time: 453, Spawn distance: 127.27922061357856
Save: 28, Episode: 746/20000, Best Score: 56554.248813837716, Play_time: 453, Spawn distance: 127.27922061357856
Save: 29, Episode: 747/20000, Best Score: 57133.25562447158, Play_time: 453, Spawn distance: 127.27922061357856
Save: 30, Episode: 748/20000, Best Score: 57659.76450857022, Play_time: 453, Spawn distance: 127.27922061357856
Save: 31, Episode: 749/20000, Best Score: 58201.48187033218, Play_time: 453, Spawn distance: 127.27922061357856
Save: 32, Episode: 750/20000, Best Score: 58713.535479252416, Play_time: 453, Spawn distance: 127.27922061357856
Save: 33, Episode: 751/20000, Best Score: 60246.534783225594, Play_time: 453, Spawn distance: 127.27922061357856
Save: 34, Episode: 752/20000, Best Score: 61729.784680964454, Play_time: 453, Spawn distance: 127.27922061357856
Save: 35, Episode: 753/20000, Best Score: 63177.1340406203, Play_time: 453, Spawn distance: 127.27922061357856
Save: 36, Episode: 754/20000, Best Score: 64745.01212187769, Play_time: 453, Spawn distance: 127.27922061357856
Save: 37, Episode: 755/20000, Best Score: 66219.24097157178, Play_time: 453, Spawn distance: 127.27922061357856
Save: 38, Episode: 756/20000, Best Score: 67735.15116579807, Play_time: 453, Spawn distance: 127.27922061357856
Save: 39, Episode: 757/20000, Best Score: 69235.05632504617, Play_time: 453, Spawn distance: 127.27922061357856
Save: 40, Episode: 758/20000, Best Score: 70807.04757751165, Play_time: 453, Spawn distance: 127.27922061357856
Save: 41, Episode: 759/20000, Best Score: 72214.30237738379, Play_time: 453, Spawn distance: 127.27922061357856
Save: 42, Episode: 760/20000, Best Score: 73461.82889089105, Play_time: 453, Spawn distance: 127.27922061357856
Save: 43, Episode: 761/20000, Best Score: 73473.14785096819, Play_time: 453, Spawn distance: 127.27922061357856
Save: 44, Episode: 762/20000, Best Score: 74993.1669452186, Play_time: 453, Spawn distance: 127.27922061357856
Save: 45, Episode: 785/20000, Best Score: 75044.89293278656, Play_time: 453, Spawn distance: 127.27922061357856
Save: 46, Episode: 801/20000, Best Score: 81206.1829889612, Play_time: 453, Spawn distance: 127.27922061357856
Save: 47, Episode: 804/20000, Best Score: 81455.94493793104, Play_time: 453, Spawn distance: 127.27922061357856
Save: 48, Episode: 805/20000, Best Score: 81645.74786548199, Play_time: 453, Spawn distance: 127.27922061357856
Save: 1, Episode: 701/20000, Best Score: 16799.326256653178, Play_time: 453, Spawn distance: 127.27922061357856
Save: 2, Episode: 802/20000, Best Score: 32412.85024669996, Play_time: 453, Spawn distance: 127.27922061357856
Save: 3, Episode: 824/20000, Best Score: 34006.406430504496, Play_time: 453, Spawn distance: 127.27922061357856
Save: 4, Episode: 826/20000, Best Score: 35728.81702942125, Play_time: 453, Spawn distance: 127.27922061357856
Save: 5, Episode: 827/20000, Best Score: 36517.45037186492, Play_time: 453, Spawn distance: 127.27922061357856
Save: 6, Episode: 828/20000, Best Score: 38156.31412084014, Play_time: 453, Spawn distance: 127.27922061357856
Save: 7, Episode: 829/20000, Best Score: 39530.518655030886, Play_time: 453, Spawn distance: 127.27922061357856
Save: 8, Episode: 830/20000, Best Score: 39707.40008934529, Play_time: 453, Spawn distance: 127.27922061357856
Save: 9, Episode: 831/20000, Best Score: 40712.098611323265, Play_time: 453, Spawn distance: 127.27922061357856
Save: 10, Episode: 832/20000, Best Score: 41552.95529971986, Play_time: 453, Spawn distance: 127.27922061357856
Save: 11, Episode: 833/20000, Best Score: 42723.35391102474, Play_time: 453, Spawn distance: 127.27922061357856
Save: 12, Episode: 834/20000, Best Score: 43673.02781166203, Play_time: 453, Spawn distance: 127.27922061357856
Save: 13, Episode: 835/20000, Best Score: 44351.51187026666, Play_time: 453, Spawn distance: 127.27922061357856
Save: 14, Episode: 837/20000, Best Score: 44715.34841812492, Play_time: 453, Spawn distance: 127.27922061357856
Save: 15, Episode: 841/20000, Best Score: 45560.212651725065, Play_time: 453, Spawn distance: 127.27922061357856
Save: 16, Episode: 842/20000, Best Score: 46451.7563066761, Play_time: 453, Spawn distance: 127.27922061357856
Save: 17, Episode: 844/20000, Best Score: 47057.130293578404, Play_time: 453, Spawn distance: 127.27922061357856
Save: 18, Episode: 845/20000, Best Score: 47762.72888469123, Play_time: 453, Spawn distance: 127.27922061357856
Save: 19, Episode: 846/20000, Best Score: 47982.276102896416, Play_time: 453, Spawn distance: 127.27922061357856
Save: 20, Episode: 847/20000, Best Score: 48353.07840136284, Play_time: 453, Spawn distance: 127.27922061357856
Save: 21, Episode: 848/20000, Best Score: 49104.13205545549, Play_time: 453, Spawn distance: 127.27922061357856
Save: 22, Episode: 849/20000, Best Score: 49607.64067485025, Play_time: 453, Spawn distance: 127.27922061357856
Save: 23, Episode: 850/20000, Best Score: 50299.56602482206, Play_time: 453, Spawn distance: 127.27922061357856
